Peringkat,Blok,Dirian Pokok,Luas,Jumlah Pokok,Target Hasil,Hasil Sebenar January,Hasil Sebenar February,Hasil Sebenar March,Hasil Sebenar April,Hasil Sebenar May,Hasil Sebenar June,Hasil Sebenar July,Hasil Sebenar August,Hasil Sebenar September,Hasil Sebenar October,Hasil Sebenar November,Hasil Sebenar December,Jumlah Hasil (Metrik Tan),Pencapaian Hasil (Tan/Hektar)
1G,1,130,60.6,7878,0,50.3,35.15,51.51,72.72,79.99,90.9,86.05,95.75,116.35,126.05,115.14,107.26,1027.17,16.95
1G,2,130,81.81,10635,0,67.9,47.45,69.54,98.17,107.99,122.72,116.17,129.26,157.08,170.16,155.44,144.8,1386.68,16.95
1G,3,130,78.78,10241,0,65.39,45.69,66.96,94.54,103.99,118.17,111.87,124.47,151.26,163.86,149.68,139.44,1335.32,16.95
1G,4,130,68.38,8889,0,56.76,39.66,58.12,82.06,90.26,102.57,97.1,108.04,131.29,142.23,129.92,121.03,1159.04,16.95
1G,5,130,76.18,9903,0,63.23,44.18,64.75,91.42,100.56,114.27,108.18,120.36,146.27,158.45,144.74,134.84,1291.25,16.95
1G,6,130,60.6,7878,0,50.3,35.15,51.51,72.72,79.99,90.9,86.05,95.75,116.35,126.05,115.14,107.26,1027.17,16.95
1G,7,130,86.16,11201,0,71.52,49.97,73.24,103.4,113.74,129.24,122.35,136.14,165.43,179.22,163.71,152.51,1460.46,16.95
1A,8,116,85.5,9918,0,68.4,50.45,49.59,106.02,118.85,110.3,112.86,123.12,153.05,165.87,165.02,141.08,1364.58,15.96
1A,9,116,68.4,7934,0,54.72,40.36,39.67,84.82,95.08,88.24,90.29,98.5,122.44,132.7,132.01,112.86,1091.66,15.96
1D,10,108,63.75,6885,0,40.16,29.96,35.06,78.41,92.44,63.11,74.59,74.59,100.09,119.21,125.59,83.51,916.73,14.38
1D,11,108,64.4,6955,0,40.57,30.27,35.42,79.21,93.38,63.76,75.35,75.35,101.11,120.43,126.87,84.36,926.07,14.38
1A,12,116,73.91,8574,0,59.13,43.61,42.87,91.65,102.73,95.34,97.56,106.43,132.3,143.39,142.65,121.95,1179.6,15.96
1A,13,116,56.8,6589,0,45.44,33.51,32.94,70.43,78.95,73.27,74.98,81.79,101.67,110.19,109.62,93.72,906.53,15.96
1C,21,110,4.82,530,0,2.41,3.57,4.68,7.62,4.05,4.92,4.43,4.72,6.41,10.36,9.78,8.19,71.14,14.76
2G,14,122,66.85,8156,0,36.77,28.75,42.78,63.51,84.9,81.56,78.88,83.56,90.25,108.3,114.31,95.6,909.16,13.6
2G,15,122,62.93,7677,0,34.61,27.06,40.28,59.78,79.92,76.77,74.26,78.66,84.96,101.95,107.61,89.99,855.85,13.6
2G,16,122,61.13,7458,0,33.62,26.29,39.12,58.07,77.64,74.58,72.13,76.41,82.53,99.03,104.53,87.42,831.37,13.6
3,17,115,65.1,7487,0,45.57,33.85,32.55,61.19,86.58,83.98,83.98,92.44,124.99,134.11,119.13,107.42,1005.8,15.45
3,18,115,88.19,10142,0,61.73,45.86,44.1,82.9,117.29,113.77,113.77,125.23,169.32,181.67,161.39,145.51,1362.54,15.45
3,19,115,63.95,7354,0,44.77,33.25,31.98,60.11,85.05,82.5,82.5,90.81,122.78,131.74,117.03,105.52,988.03,15.45
3,20,115,57.3,6590,0,40.11,29.8,28.65,53.86,76.21,73.92,73.92,81.37,110.02,118.04,104.86,94.55,885.29,15.45
4,1,122,719.49,87778,0,410.11,518.03,510.84,661.93,661.93,777.05,1129.6,978.51,1000.09,892.17,805.83,719.49,9065.6,12.6
1F,88,,1.64,0,0,3,1.44,3.07,5.13,4.02,3.08,4.87,4.62,2.53,2.98,2.36,1.8,38.92,23.73
2F,88,,4.79,0,0,6.08,5.36,5.46,10.3,8.57,11.3,6.99,6.37,7.23,3.88,6.61,4.98,83.15,17.36
3F,88,,22.44,0,0,21.54,8.75,12.12,18.18,24.24,26.25,33.66,31.64,34.11,29.17,22.89,23.56,286.11,12.75
